"G0023500","G0085900","H0001900","H0002700","R0000100","R0001900","R0002100","R0002400","R0006500","R0009300","R0009400","R0017300","R0173600","R0214700","R0214800","R0215300","R0215301","R0220200","R0304410","R0305700","R0305800","R0307100","R0312300","R0312710","R0329800","R0329900","R0330000","R0330100","R0330200","R0393510","R0393520","R0402800","R0405210","R0405601","R0405700","R0406010","R0406511","R0406700","R0406701","R0407300","R0481600","R0481700","R0618301","R0645800","R0645801","R0655900","R0780400","R0897300","R0897301","R0988000","R1020700","R1021700","R1145800","R1146100","R1521000","R1521300","R1891700","R1892000","R2258800","R2259100","R2350010","R2446200","R2446500","R2716700","R2716800","R2718700","R2718800","R2718900","R2719000","R2719100","R2719200","R2720800","R2721000","R2721100","R2721200","R2721400","R2721500","R2722501","R2724701","R2743300","R2870110","R2870200","R2870800","R2870900","R2871300","R2871301","R2871400","R2872000","R2872300","R2872700","R2872800","R2877600","R3895400","R3914300"
-4,-4,1,0,3567,11,0,1,12,-3,-3,12,1,3,1,30,4,19,20,0,0,0,12000,1000,1,1,2,3,4,1,1,11,3,1,2,-3,1,49,0,1935,510,170,62489,45,0,4,0,40,0,17,-4,16,53,0,51,0,53,0,53,0,22,61,0,0,2,0,-4,-4,-4,-4,-4,0,-4,-4,0,-4,-4,27154,-4,1,2,27191,2,3,28,1,3465,62,0,1,1,1,0,14
-4,-4,-4,-4,3568,11,0,1,12,1,18,10,5,3,2,5,0,17,17,0,0,0,-4,-4,1,1,-4,-4,-4,1,1,-4,6,0,2,18000,0,0,0,0,504,125,29205,15,0,4,1,51,0,-4,18,16,53,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,0,-4,-4,-4,-4,-4,0,-4,-4,0,-4,-4,14000,20000,0,3,34010,2,2,26,1,2080,278,0,1,1,1,-5,-5
-4,-4,1,0,3569,11,0,1,12,2,18,9,1,3,1,-4,-4,16,18,0,0,0,-4,-4,1,1,2,-4,-4,1,1,-4,6,0,2,18000,0,8,0,-4,601,180,19175,23,0,3,0,26,0,16,-4,16,54,0,51,0,52,0,53,0,19,61,0,2,10,0,-4,-4,-4,-4,-4,0,-4,-4,0,-4,-4,30000,15000,1,2,47500,2,2,24,1,2600,65,0,1,1,0,1,-4
-4,-4,-2,1,3570,51,0,-4,9,1,22,9,2,3,1,21,0,18,18,1,0,0,300,-4,1,1,2,-4,-4,1,1,-4,6,0,2,21056,1,7,0,80,600,150,4347,3,0,1,6,53,0,16,-4,18,53,0,49,0,19,0,10,0,24,69,0,6,15,0,-4,-4,-4,-4,-4,4,3,-4,0,-4,-4,10000,15000,0,2,27376,2,2,26,1,1950,57,0,1,1,0,0,16
-4,-4,-2,1,3571,21,0,1,9,2,21,8,2,3,1,-4,-4,16,20,0,0,0,-4,-4,1,1,2,-4,-4,1,1,-4,6,0,2,21056,1,48,0,-4,509,150,20536,0,0,2,4,18,0,16,-4,17,53,0,51,0,50,0,49,0,23,57,0,0,1,0,-4,-4,-4,-4,-4,0,-4,-4,0,-4,-4,13000,6000,0,4,21550,2,2,24,1,2075,67,0,1,1,2,0,16
-4,-4,-2,1,3572,21,0,1,9,3,22,8,6,3,2,-4,-4,15,19,1,0,0,-4,-4,1,1,2,-4,-4,1,1,-4,5,0,2,21056,-3,-4,-4,-4,508,145,18677,14,-4,4,-4,0,0,-4,17,17,0,0,0,0,14,0,0,0,20,11,0,0,1,0,-4,-4,-4,-4,-4,1,7,-4,0,-4,-4,800,-4,0,3,800,2,3,23,0,275,23,0,1,1,2,0,14
-4,-4,0,0,3573,11,1,1,11,0,-4,10,5,3,2,58,0,17,28,0,0,0,-4,-4,0,-4,-4,-4,-4,1,1,-4,4,0,2,30000,1,50,0,354,511,175,99639,25,0,2,0,6,0,-4,-4,18,13,0,16,0,53,0,61,0,30,37,0,0,15,1,10,96,1,20,96,0,-4,-4,0,-4,-4,0,30000,0,4,34820,2,2,26,0,80,0,0,1,1,2,0,-4
-4,-4,0,0,3574,11,1,1,11,1,16,8,5,3,2,-4,-4,15,24,0,0,0,-4,-4,1,1,-4,-4,-4,1,1,-4,4,0,2,30000,-3,-4,-4,-4,509,180,98092,0,-4,2,0,54,0,-4,-4,18,51,0,38,0,3,0,52,0,26,60,0,0,5,0,-4,-4,-4,-4,-4,0,-4,-4,0,-4,-4,19000,-4,0,1,19200,2,1,23,1,2080,65,0,1,2,0,0,-4
-4,-4,1,0,3575,11,0,1,12,0,-4,12,1,3,1,61,0,21,21,0,0,0,16000,-4,0,-4,-4,-4,-4,1,2,11,1,0,2,16500,1,49,0,2340,601,150,28797,52,0,5,0,53,0,18,-4,18,51,0,52,0,55,0,51,0,27,61,0,-4,-4,1,14,0,0,-4,-4,0,-4,-4,0,-4,-4,28000,0,0,5,28500,2,2,30,1,2080,68,0,1,1,3,0,-4
-4,-4,1,1,3576,11,0,1,12,1,21,12,5,3,2,63,0,20,19,0,0,0,1500,15000,0,-4,-4,-4,-4,0,0,11,2,1,2,17200,1,29,0,1295,506,115,64704,45,0,5,0,7,0,-4,19,18,0,0,0,0,0,0,51,0,24,24,0,-4,-4,1,14,0,1,16,0,0,-4,-4,0,-4,-4,0,25500,0,4,-2,2,2,28,0,0,0,0,1,1,2,2,-4
-4,-4,-4,-4,3577,11,0,1,12,2,21,10,1,3,1,0,0,18,16,0,0,0,1200,-4,1,1,-4,-4,-4,1,1,-4,5,0,2,18000,0,20,0,760,600,165,2051,16,0,5,0,38,0,20,-4,18,15,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
